fecha,anio,dia,mes,semana_del_mes,quincena,dia_especial,prediccion
2021-06-05,2021,Saturday,6,1,0,0,11.08806920602508
2021-06-06,2021,Sunday,6,1,0,0,9.213233258957025
2021-06-07,2021,Monday,6,1,0,1,9.612896919409426
2021-06-08,2021,Tuesday,6,2,0,0,10.210988005930897
2021-06-09,2021,Wednesday,6,2,0,0,10.226817958003553
2021-06-10,2021,Thursday,6,2,0,0,10.134815852565577
2021-06-11,2021,Friday,6,2,0,0,10.734714125492996
2021-06-12,2021,Saturday,6,2,0,0,11.18216763266491
2021-06-13,2021,Sunday,6,2,0,0,9.291420970255091
2021-06-14,2021,Monday,6,2,0,1,9.694476359324517
2021-06-15,2021,Tuesday,6,3,1,0,10.475437451459197
2021-06-16,2021,Wednesday,6,3,0,0,10.469681599724963
2021-06-17,2021,Thursday,6,3,0,0,10.375494653756482
2021-06-18,2021,Friday,6,3,0,0,10.989639144796302
2021-06-19,2021,Saturday,6,3,0,0,11.447718653985566
2021-06-20,2021,Sunday,6,3,0,0,9.512071063262447
2021-06-21,2021,Monday,6,3,0,0,10.027590670481555
2021-06-22,2021,Tuesday,6,4,0,0,10.141036090077002
2021-06-23,2021,Wednesday,6,4,0,0,10.156757596671643
2021-06-24,2021,Thursday,6,4,0,0,10.06538576555523
2021-06-25,2021,Friday,6,4,0,0,10.661174344740541
2021-06-26,2021,Saturday,6,4,0,0,11.105562504067175
2021-06-27,2021,Sunday,6,4,0,0,9.22776868729316
2021-06-28,2021,Monday,6,4,0,0,9.727880141207226
2021-06-29,2021,Tuesday,6,5,0,0,9.951154479968018
2021-06-30,2021,Wednesday,6,5,1,0,9.98752042802896
2021-07-01,2021,Thursday,7,1,0,0,10.447912087173483
2021-07-02,2021,Friday,7,1,0,0,11.066343098448963
2021-07-03,2021,Saturday,7,1,0,0,11.527619847236279
2021-07-04,2021,Sunday,7,1,0,0,9.578462092882628
2021-07-05,2021,Monday,7,1,0,1,9.993969126509972
2021-07-06,2021,Tuesday,7,1,0,0,10.526437437158023
2021-07-07,2021,Wednesday,7,1,0,0,10.542756426077531
2021-07-08,2021,Thursday,7,2,0,0,10.536577847713657
2021-07-09,2021,Friday,7,2,0,0,11.160257147403017
2021-07-10,2021,Saturday,7,2,0,0,11.625448501654997
2021-07-11,2021,Sunday,7,2,0,0,9.659749303110331
2021-07-12,2021,Monday,7,2,0,0,10.183272533062581
2021-07-13,2021,Tuesday,7,2,0,0,10.615769599733355
2021-07-14,2021,Wednesday,7,2,0,0,10.632227079056662
2021-07-15,2021,Thursday,7,3,1,0,10.80945958726474
2021-07-16,2021,Friday,7,3,0,0,11.425287844585272
2021-07-17,2021,Saturday,7,3,0,0,11.901526434336589
2021-07-18,2021,Sunday,7,3,0,0,9.88914635540002
2021-07-19,2021,Monday,7,3,0,0,10.425102070087414
2021-07-20,2021,Tuesday,7,3,0,1,10.756355326296593
2021-07-21,2021,Wednesday,7,3,0,0,10.884718264353243
2021-07-22,2021,Thursday,7,4,0,0,10.46439542946352
2021-07-23,2021,Friday,7,4,0,0,11.083802119894468
2021-07-24,2021,Saturday,7,4,0,0,11.545806610500174
2021-07-25,2021,Sunday,7,4,0,0,9.593573731262792
2021-07-26,2021,Monday,7,4,0,0,10.113510486242404
2021-07-27,2021,Tuesday,7,4,0,0,10.543044666422933
2021-07-28,2021,Wednesday,7,4,0,0,10.559389401297992
2021-07-29,2021,Thursday,7,5,0,0,10.268459211969141
2021-07-30,2021,Friday,7,5,1,0,10.899118054068042
2021-07-31,2021,Saturday,7,5,1,0,11.35342438597043
2021-08-01,2021,Sunday,8,1,0,0,9.539184790855264
2021-08-02,2021,Monday,8,1,0,0,10.056173863357579
2021-08-03,2021,Tuesday,8,1,0,0,10.483272881253098
2021-08-04,2021,Wednesday,8,1,0,0,10.499524952764535
2021-08-05,2021,Thursday,8,1,0,0,10.405069531173996
2021-08-06,2021,Friday,8,1,0,0,11.020964613259862
2021-08-07,2021,Saturday,8,1,0,1,11.362550602842852
2021-08-08,2021,Sunday,8,2,0,0,9.62013867593368
2021-08-09,2021,Monday,8,2,0,0,10.14151515416088
2021-08-10,2021,Tuesday,8,2,0,0,10.57223872966482
2021-08-11,2021,Wednesday,8,2,0,0,10.588628723688323
2021-08-12,2021,Thursday,8,2,0,0,10.49337171018903
2021-08-13,2021,Friday,8,2,0,0,11.114493559633814
2021-08-14,2021,Saturday,8,2,0,0,11.577777356999908
2021-08-15,2021,Sunday,8,3,1,0,9.869286000098427
2021-08-16,2021,Monday,8,3,0,1,10.275820280417163
2021-08-17,2021,Tuesday,8,3,0,0,10.823305328246947
2021-08-18,2021,Wednesday,8,3,0,0,10.840084547311186
2021-08-19,2021,Thursday,8,3,0,0,10.742565396625825
2021-08-20,2021,Friday,8,3,0,0,11.378437475802707
2021-08-21,2021,Saturday,8,3,0,0,11.85272320853529
2021-08-22,2021,Sunday,8,4,0,0,9.554234462671378
2021-08-23,2021,Monday,8,4,0,0,10.072039172572932
2021-08-24,2021,Tuesday,8,4,0,0,10.499812011155779
2021-08-25,2021,Wednesday,8,4,0,0,10.516089723049275
2021-08-26,2021,Thursday,8,4,0,0,10.421485282110925
2021-08-27,2021,Friday,8,4,0,0,11.038352042496538
2021-08-28,2021,Saturday,8,4,0,0,11.498462044222968
2021-08-29,2021,Sunday,8,5,0,0,9.375340175439131
2021-08-30,2021,Monday,8,5,1,0,9.904213626299875
2021-08-31,2021,Tuesday,8,5,1,0,10.324858691739083
2021-09-01,2021,Wednesday,9,1,0,0,10.993805800524674
2021-09-02,2021,Thursday,9,1,0,0,10.89490374862759
2021-09-03,2021,Friday,9,1,0,0,11.539793013276403
2021-09-04,2021,Saturday,9,1,0,0,12.020804505102351
2021-09-05,2021,Sunday,9,1,0,0,9.988256188521031
2021-09-06,2021,Monday,9,1,0,0,10.529583295190495
2021-09-07,2021,Tuesday,9,1,0,0,10.976788638428603
2021-09-08,2021,Wednesday,9,2,0,0,11.087104264792112
2021-09-09,2021,Thursday,9,2,0,0,10.987362884847732
2021-09-10,2021,Friday,9,2,0,0,11.637724974749782
2021-09-11,2021,Saturday,9,2,0,0,12.122818550095912
2021-09-12,2021,Sunday,9,2,0,0,10.07302109887212
2021-09-13,2021,Monday,9,2,0,0,10.618942154955914
2021-09-14,2021,Tuesday,9,2,0,0,11.069942687275343
2021-09-15,2021,Wednesday,9,3,1,0,11.374243822064704
2021-09-16,2021,Thursday,9,3,0,0,11.24828773694608
2021-09-17,2021,Friday,9,3,0,0,11.914094445715875
2021-09-18,2021,Saturday,9,3,0,0,12.410707888998246
2021-09-19,2021,Sunday,9,3,0,0,10.312232415359292
2021-09-20,2021,Monday,9,3,0,0,10.87111785355269
2021-09-21,2021,Tuesday,9,3,0,0,11.332828621660727
2021-09-22,2021,Wednesday,9,4,0,0,11.011150382156702
2021-09-23,2021,Thursday,9,4,0,0,10.912092295603026
2021-09-24,2021,Friday,9,4,0,0,11.557998981761486
2021-09-25,2021,Saturday,9,4,0,0,12.039769350289216
2021-09-26,2021,Sunday,9,4,0,0,10.004014346156957
2021-09-27,2021,Monday,9,4,0,0,10.54619548757668
2021-09-28,2021,Tuesday,9,4,0,0,10.99410637261922
2021-09-29,2021,Wednesday,9,5,0,0,10.804976679080944
2021-09-30,2021,Thursday,9,5,1,0,10.730269348023706
2021-10-01,2021,Friday,10,1,0,0,10.796358092848669
2021-10-02,2021,Saturday,10,1,0,0,11.246381096428854
2021-10-03,2021,Sunday,10,1,0,0,9.3447768439451
2021-10-04,2021,Monday,10,1,0,0,9.851229713788202
2021-10-05,2021,Tuesday,10,1,0,0,10.26962448231474
2021-10-06,2021,Wednesday,10,1,0,0,10.285545337697664
2021-10-07,2021,Thursday,10,1,0,0,10.193014911270609
2021-10-08,2021,Friday,10,2,0,0,10.88798092556198
2021-10-09,2021,Saturday,10,2,0,0,11.341823030177869
2021-10-10,2021,Sunday,10,2,0,0,9.424080894269549
2021-10-11,2021,Monday,10,2,0,0,9.934831754802818
2021-10-12,2021,Tuesday,10,2,0,0,10.356777212696562
2021-10-13,2021,Wednesday,10,2,0,0,10.372833179739999
2021-10-14,2021,Thursday,10,2,0,0,10.27951749779358
2021-10-15,2021,Friday,10,3,1,0,11.169963483666562
2021-10-16,2021,Saturday,10,3,0,0,11.611165503680391
2021-10-17,2021,Sunday,10,3,0,0,9.647881358427442
2021-10-18,2021,Monday,10,3,0,1,10.066399751584472
2021-10-19,2021,Tuesday,10,3,0,0,10.602727090821103
2021-10-20,2021,Wednesday,10,3,0,0,10.619164350525022
2021-10-21,2021,Thursday,10,3,0,0,10.523632633596826
2021-10-22,2021,Friday,10,4,0,0,10.813391167442463
